                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     77,                0.64619,                0.61799,                  1.064,                0.72044,                0.71951,                0.76451,                 0.6044,                0.79679,                0.84398,                 1.2547,             0.00035382,             0.00035382,             0.00035382
                     78,                  0.646,                0.61454,                 1.0614,                0.72964,                0.72433,                0.77457,                0.61211,                 0.7919,                0.82882,                 1.2321,             0.00033967,             0.00033967,             0.00033967
                     79,                0.63699,                0.61039,                 1.0586,                0.72879,                0.71817,                0.77015,                0.61312,                0.78575,                0.83497,                 1.2352,             0.00032553,             0.00032553,             0.00032553
                     80,                0.63461,                0.59577,                 1.0509,                0.71854,                0.73774,                0.77397,                0.61453,                0.78693,                0.83654,                 1.2381,             0.00031138,             0.00031138,             0.00031138
                     81,                0.63111,                0.59337,                  1.056,                0.69866,                0.74635,                0.77031,                0.60951,                 0.7874,                0.83295,                  1.237,             0.00029723,             0.00029723,             0.00029723
                     82,                0.62635,                0.59449,                 1.0502,                  0.725,                0.72507,                0.77203,                0.61296,                0.78877,                0.83308,                 1.2436,             0.00028308,             0.00028308,             0.00028308
                     83,                0.62539,                0.57668,                 1.0528,                0.70562,                 0.7388,                 0.7685,                0.61016,                0.78398,                0.83442,                 1.2422,             0.00026894,             0.00026894,             0.00026894
                     84,                0.62116,                0.56863,                 1.0409,                 0.7136,                0.74661,                 0.7771,                0.61714,                0.78083,                0.83383,                 1.2319,             0.00025479,             0.00025479,             0.00025479
                     85,                 0.6174,                0.56701,                  1.041,                0.73465,                0.72389,                0.77405,                0.61495,                0.78531,                0.82627,                 1.2394,             0.00024064,             0.00024064,             0.00024064
                     86,                0.61244,                0.55556,                 1.0349,                 0.7041,                0.74701,                0.77357,                0.61227,                0.78446,                0.83502,                  1.236,              0.0002265,              0.0002265,              0.0002265
                     87,                0.60491,                0.55378,                 1.0328,                0.71783,                0.73534,                0.77453,                0.61478,                 0.7769,                0.83804,                 1.2308,             0.00021235,             0.00021235,             0.00021235
                     88,                0.60512,                 0.5521,                 1.0356,                0.72502,                0.73607,                0.77668,                0.61579,                0.78232,                0.84058,                 1.2364,              0.0001982,              0.0001982,              0.0001982
                     89,                0.60041,                0.54423,                 1.0318,                0.74509,                 0.7116,                0.77894,                0.61871,                0.78255,                0.82202,                 1.2327,             0.00018406,             0.00018406,             0.00018406
