                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     88,                0.53205,                0.44608,                0.98144,                0.71882,                0.73878,                0.75704,                0.60338,                0.81129,                0.95494,                 1.2524,              0.0001982,              0.0001982,              0.0001982
                     89,                0.53432,                0.44998,                0.98325,                0.73852,                0.70968,                0.75213,                 0.5986,                 0.8063,                0.95053,                  1.241,             0.00018406,             0.00018406,             0.00018406
                     90,                0.52697,                0.43882,                0.97584,                0.70718,                0.72975,                0.74852,                 0.5976,                0.80208,                 0.9544,                   1.24,             0.00016991,             0.00016991,             0.00016991
                     91,                0.47067,                0.33184,                0.94225,                0.72134,                0.71808,                0.75591,                0.60262,                0.80776,                0.95975,                 1.2552,             0.00015576,             0.00015576,             0.00015576
                     92,                0.46421,                0.32202,                0.94022,                0.72489,                 0.7285,                0.76056,                0.60685,                0.80565,                0.94329,                 1.2498,             0.00014161,             0.00014161,             0.00014161
                     93,                0.45072,                0.30699,                0.92585,                0.74392,                0.71065,                0.75863,                0.60691,                0.80856,                0.96017,                 1.2539,             0.00012747,             0.00012747,             0.00012747
                     94,                0.45203,                0.30356,                0.93017,                0.75169,                0.70754,                0.75906,                0.60638,                0.81094,                0.95633,                 1.2591,             0.00011332,             0.00011332,             0.00011332
                     95,                0.44672,                0.30158,                0.92725,                0.75728,                0.69276,                0.75282,                0.60334,                 0.8118,                0.97624,                  1.264,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     96,                0.44464,                0.30018,                0.92277,                0.73493,                0.71646,                0.75306,                0.60309,                0.81103,                0.97325,                 1.2588,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     97,                0.43812,                0.29174,                 0.9198,                0.72076,                0.73129,                0.75547,                0.60498,                0.81074,                0.97262,                 1.2583,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     98,                0.43721,                0.28972,                0.91974,                 0.7196,                0.73367,                0.75527,                0.60643,                0.81426,                0.96587,                 1.2659,             5.6731e-05,             5.6731e-05,             5.6731e-05
                     99,                0.43337,                0.28442,                0.91579,                0.72183,                0.73562,                0.75645,                0.60757,                0.81219,                0.96749,                 1.2662,             4.2584e-05,             4.2584e-05,             4.2584e-05
                    100,                0.43086,                0.27984,                0.91891,                0.71548,                0.73297,                 0.7546,                0.60676,                0.81367,                0.97407,                  1.271,             2.8437e-05,             2.8437e-05,             2.8437e-05
