                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     62,                0.64686,                0.61667,                 1.0464,                 0.7153,                0.68057,                 1.0758,                0.73999,                0.70628,                 0.7697,                0.59594,                0.81264,                0.87238,                 1.2233,                0.85255,                0.94714,                 1.2382,             0.00058017,             0.00058017,             0.00058017
                     63,                0.64354,                 0.6122,                  1.043,                0.71138,                0.67232,                 1.0719,                0.72168,                0.72373,                0.76918,                0.59941,                0.81115,                 0.8638,                 1.2232,                0.84854,                0.92949,                 1.2367,             0.00056603,             0.00056603,             0.00056603
                     64,                0.63479,                0.60544,                 1.0405,                0.70289,                0.66846,                 1.0715,                0.73619,                0.71987,                0.76958,                0.59642,                0.81212,                0.86875,                 1.2252,                0.85062,                0.93394,                 1.2449,             0.00055188,             0.00055188,             0.00055188
                     65,                0.63827,                0.61432,                 1.0411,                 0.7049,                0.68086,                 1.0712,                0.72187,                0.73137,                0.77158,                0.59716,                0.81449,                0.86824,                 1.2228,                0.85656,                0.93897,                 1.2391,             0.00053773,             0.00053773,             0.00053773
                     66,                 0.6289,                0.58404,                 1.0296,                0.69702,                0.64321,                 1.0599,                0.72115,                0.71784,                0.76901,                0.59782,                0.81441,                0.86931,                 1.2256,                0.85256,                0.95502,                  1.239,             0.00052359,             0.00052359,             0.00052359
                     67,                0.62017,                0.57702,                 1.0298,                0.68794,                0.63115,                 1.0588,                0.72439,                0.72101,                0.77139,                0.59826,                 0.8201,                0.86129,                 1.2272,                0.85839,                0.93345,                 1.2425,             0.00050944,             0.00050944,             0.00050944
                     68,                0.61838,                0.56196,                 1.0287,                0.68078,                0.61413,                 1.0567,                0.72307,                0.73067,                0.76823,                0.59404,                0.82205,                0.87089,                 1.2338,                0.85613,                0.94289,                 1.2477,             0.00049529,             0.00049529,             0.00049529
                     69,                 0.6121,                0.56204,                 1.0214,                0.67374,                0.61886,                 1.0493,                0.72697,                0.71643,                0.76873,                0.59842,                0.82004,                0.87622,                 1.2357,                 0.8537,                0.96277,                 1.2491,             0.00048114,             0.00048114,             0.00048114
                     70,                0.60297,                  0.544,                 1.0167,                 0.6686,                0.60326,                  1.044,                0.74025,                0.71487,                 0.7696,                0.60164,                0.81006,                0.88449,                 1.2215,                0.84783,                0.97033,                  1.239,               0.000467,               0.000467,               0.000467
                     71,                0.60695,                 0.5508,                 1.0222,                0.67177,                0.60534,                 1.0509,                0.74029,                0.70705,                0.76597,                0.59743,                0.81872,                0.89097,                  1.239,                0.85527,                0.97975,                  1.252,             0.00045285,             0.00045285,             0.00045285
                     72,                0.59865,                0.53838,                 1.0133,                 0.6646,                0.58723,                 1.0435,                0.73693,                0.70785,                0.76569,                0.59461,                0.82043,                0.89768,                 1.2411,                 0.8551,                0.98691,                 1.2546,              0.0004387,              0.0004387,              0.0004387
                     73,                0.58975,                0.52408,                 1.0071,                0.65464,                0.57485,                 1.0375,                0.74224,                0.71557,                0.76794,                0.59931,                0.81208,                0.90694,                 1.2307,                0.84901,                 1.0013,                 1.2478,             0.00042456,             0.00042456,             0.00042456
                     74,                0.59235,                0.53488,                 1.0098,                0.65514,                0.59464,                 1.0389,                0.73184,                0.72238,                0.76036,                0.59188,                0.81145,                 0.9219,                 1.2303,                0.84759,                 1.0112,                 1.2516,             0.00041041,             0.00041041,             0.00041041
                     75,                0.58655,                 0.5205,                 1.0032,                0.64927,                 0.5733,                 1.0324,                0.73567,                0.71232,                0.76669,                  0.596,                0.80952,                0.90186,                 1.2298,                0.84951,                 1.0069,                 1.2485,             0.00039626,             0.00039626,             0.00039626
                     76,                0.58755,                0.52081,                 1.0088,                0.65141,                0.57859,                 1.0396,                0.72891,                0.73108,                0.76716,                0.59619,                0.81749,                0.91455,                 1.2443,                 0.8594,                 1.0131,                 1.2583,             0.00038211,             0.00038211,             0.00038211
                     77,                0.58133,                0.51726,                 1.0031,                0.64645,                0.57192,                 1.0329,                0.72632,                0.72572,                0.76604,                0.59497,                0.81479,                0.89171,                 1.2324,                0.85183,                0.99554,                 1.2469,             0.00036797,             0.00036797,             0.00036797
