                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     64,                0.63189,                 0.5994,                 1.0348,                 0.6978,                0.65824,                 1.0661,                0.70646,                0.73894,                0.77176,                0.60144,                 0.7882,                0.84642,                 1.2071,                 0.8278,                0.90499,                 1.2307,             0.00055188,             0.00055188,             0.00055188
                     65,                0.62866,                0.60098,                  1.033,                0.69797,                0.66265,                 1.0661,                0.72234,                 0.7134,                0.76593,                 0.5957,                 0.7941,                0.86754,                  1.219,                0.82686,                0.95729,                  1.236,             0.00053773,             0.00053773,             0.00053773
                     66,                0.63428,                0.59532,                 1.0351,                0.70209,                0.65497,                 1.0675,                0.72811,                0.70729,                0.76163,                0.59264,                0.79177,                0.87599,                 1.2217,                0.82589,                0.94405,                 1.2374,             0.00052359,             0.00052359,             0.00052359
                     67,                0.62083,                0.58201,                 1.0258,                0.68444,                0.63269,                 1.0568,                0.73441,                0.70923,                0.76743,                0.59779,                0.79429,                0.85897,                 1.2215,                0.83322,                0.92353,                 1.2429,             0.00050944,             0.00050944,             0.00050944
                     68,                0.62007,                0.57145,                 1.0257,                0.68653,                0.62715,                 1.0565,                 0.7489,                0.69356,                0.76314,                0.59688,                0.79073,                 0.8737,                 1.2163,                0.83141,                0.96221,                 1.2353,             0.00049529,             0.00049529,             0.00049529
                     69,                 0.6129,                0.56226,                 1.0212,                0.68082,                0.62071,                 1.0522,                0.75603,                0.70613,                0.76871,                0.60194,                0.78746,                0.87294,                 1.2103,                0.82432,                0.95608,                 1.2279,             0.00048114,             0.00048114,             0.00048114
                     70,                0.61261,                0.55927,                 1.0165,                0.67803,                0.61113,                 1.0462,                0.71413,                0.72521,                0.76294,                0.59286,                0.79752,                0.88659,                 1.2231,                0.83348,                0.97918,                 1.2411,               0.000467,               0.000467,               0.000467
                     71,                0.60682,                0.54772,                  1.017,                0.67095,                0.60151,                 1.0483,                 0.7147,                0.72491,                0.75886,                0.59198,                0.79881,                0.87706,                 1.2238,                0.83196,                0.96861,                 1.2391,             0.00045285,             0.00045285,             0.00045285
                     72,                  0.605,                0.55509,                 1.0147,                  0.669,                0.61324,                 1.0444,                0.71338,                0.71863,                0.75917,                0.59145,                0.80473,                0.88903,                 1.2334,                0.84048,                0.96947,                 1.2443,              0.0004387,              0.0004387,              0.0004387
                     73,                0.60306,                 0.5431,                 1.0106,                0.67109,                0.60157,                 1.0408,                0.72559,                0.71167,                0.76133,                0.59413,                0.79204,                0.88395,                 1.2259,                0.83216,                0.97574,                 1.2426,             0.00042456,             0.00042456,             0.00042456
                     74,                 0.5938,                  0.527,                 1.0088,                0.65629,                0.58031,                 1.0374,                0.71863,                0.71258,                0.76444,                0.59644,                0.79632,                0.87885,                 1.2212,                0.83386,                0.95634,                  1.238,             0.00041041,             0.00041041,             0.00041041
                     75,                0.59268,                0.52825,                 1.0116,                0.65345,                0.57831,                 1.0423,                0.71945,                 0.7267,                0.76367,                0.59492,                0.79999,                0.89035,                 1.2237,                0.83762,                0.97834,                 1.2396,             0.00039626,             0.00039626,             0.00039626
                     76,                0.59218,                0.52816,                  1.011,                0.65546,                0.57611,                 1.0425,                0.74395,                0.69519,                 0.7623,                0.59407,                0.79744,                 0.8802,                 1.2263,                0.83532,                0.97404,                  1.242,             0.00038211,             0.00038211,             0.00038211
                     77,                0.58816,                0.51371,                 1.0038,                0.64829,                0.56324,                  1.032,                0.72791,                  0.708,                0.75988,                0.59237,                0.79058,                0.89782,                 1.2199,                 0.8342,                0.98959,                  1.244,             0.00036797,             0.00036797,             0.00036797
                     78,                0.58004,                 0.5131,                 1.0006,                0.64242,                  0.564,                 1.0299,                0.73238,                 0.7165,                 0.7611,                0.59418,                0.78497,                0.89926,                 1.2225,                0.83391,                0.98427,                 1.2437,             0.00035382,             0.00035382,             0.00035382
                     79,                 0.5765,                0.50877,                0.99973,                0.64046,                0.56268,                 1.0302,                0.71014,                0.73755,                0.76652,                0.59732,                0.79044,                0.87529,                 1.2278,                0.83092,                0.96181,                 1.2462,             0.00033967,             0.00033967,             0.00033967
                     80,                0.56792,                0.50228,                0.99664,                0.62694,                0.55559,                 1.0266,                0.74955,                0.69338,                0.76157,                0.59381,                0.79016,                0.88304,                 1.2315,                0.83048,                0.99157,                 1.2504,             0.00032553,             0.00032553,             0.00032553
