                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     78,                0.57426,                0.50317,                 1.0099,                0.73551,                0.71846,                0.75865,                0.59147,                0.81958,                0.90605,                 1.2617,             0.00033967,             0.00033967,             0.00033967
                     79,                0.56445,                0.49385,                 1.0006,                0.72529,                0.73308,                0.75471,                0.58679,                0.82838,                0.91572,                 1.2768,             0.00032553,             0.00032553,             0.00032553
                     80,                0.56607,                 0.4928,                 0.9961,                0.76196,                 0.7064,                0.75583,                0.59046,                0.82416,                0.91461,                 1.2634,             0.00031138,             0.00031138,             0.00031138
                     81,                0.56334,                0.48141,                0.99546,                0.75929,                0.71281,                0.75803,                0.59114,                0.82684,                0.91078,                 1.2809,             0.00029723,             0.00029723,             0.00029723
                     82,                0.55675,                0.47996,                0.99157,                0.76453,                0.70184,                 0.7585,                0.58878,                0.82878,                0.90872,                 1.2779,             0.00028308,             0.00028308,             0.00028308
                     83,                  0.549,                0.47666,                0.99035,                 0.7501,                0.71159,                0.75508,                0.58811,                0.83183,                0.90932,                 1.2832,             0.00026894,             0.00026894,             0.00026894
                     84,                0.55033,                0.46985,                0.98846,                0.77141,                0.68873,                0.75345,                 0.5909,                0.82729,                0.92873,                 1.2712,             0.00025479,             0.00025479,             0.00025479
                     85,                0.54601,                 0.4582,                0.98317,                0.75182,                0.70624,                0.74665,                 0.5842,                0.82586,                0.93694,                 1.2798,             0.00024064,             0.00024064,             0.00024064
                     86,                0.54437,                 0.4652,                0.98174,                0.75199,                0.70727,                0.75432,                0.59049,                0.82248,                0.91434,                 1.2706,              0.0002265,              0.0002265,              0.0002265
                     87,                0.53749,                0.45715,                0.97915,                0.76042,                0.70822,                0.75706,                0.59179,                0.82625,                0.91337,                 1.2813,             0.00021235,             0.00021235,             0.00021235
                     88,                0.53347,                0.45392,                0.97976,                0.74092,                0.71741,                0.75576,                0.59088,                0.82871,                0.93005,                 1.2771,              0.0001982,              0.0001982,              0.0001982
                     89,                0.53021,                 0.4464,                0.97834,                0.76698,                 0.6996,                 0.7521,                0.58733,                0.82474,                0.92358,                 1.2839,             0.00018406,             0.00018406,             0.00018406
                     90,                0.52913,                0.44212,                0.97846,                0.74251,                0.71896,                0.75365,                0.58998,                0.82149,                0.92965,                 1.2768,             0.00016991,             0.00016991,             0.00016991
